subject,relation,object
Proposal 265,Supported By,0xae65e700f3f8904ac1007d47a5309dd26f8146c0-265
Proposal 265,Opposed By,0xbc3ed6b537f2980e66f396fe14210a56ba3f72c4-265
Proposal 265,Opposed By,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a-265
Proposal 265,Supported By,0xc7a0d765c3af6e2710ba05a56c5e2ca190c2e11e-265
Proposal 265,Opposed By,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5-265
Proposal 265,Opposed By,0xdcb4117e3a00632efcac3c169e0b23959f555e5e-265
Proposal 265,Opposed By,0xe412186a1865c4fe54a79e0adcb08b81233df674-265
Proposal 265,Opposed By,0xfc538ffd2923dddaed09c8ad1a51686275c56183-265
Proposal 264,Opposed By,0x17ae58ab79444ad5b8ee2e232caf13c65c32af75-264
Proposal 264,Opposed By,0x387a161c6b25aa854100abaed39274e51aaffffd-264
Proposal 264,Opposed By,0x4754b7e3dede42d71d6c92978f25f306176ec7e9-264
Proposal 264,Opposed By,0x5606b493c51316a9e65c9b2a00bbf7ff92515a3e-264
Proposal 264,Opposed By,0x86030dbbce1c771ff6622c20455cd3619aa93c05-264
Proposal 264,Opposed By,0x8ac3ecf6973e020cc0e6e8989fb71b4a77d65987-264
Proposal 264,Opposed By,0xa1c0b11b86a46885b87c7ed68b91faa0c349e1cd-264
Proposal 264,Opposed By,0xd25973a3df7d2341ddea48303a3e6addec6184bf-264
Proposal 264,Opposed By,0xeb13fddfa9b2a4a6e4e7b2d67b6e38c208c41249-264
Proposal 264,Opposed By,0xf6b6f07862a02c85628b3a9688beae07fea9c863-264
Proposal 262,Supported By,0x0055cd5f017027d10adf4f13332181e6d8d886bb-262
Proposal 262,Supported By,0x008c84421da5527f462886cec43d2717b686a7e4-262
Proposal 262,Supported By,0x0b3cf56e7df3bb3fb7201ffcd96d279b05ddd2e3-262
Proposal 262,Supported By,0x0c66d954d9cb1ebdf4e37a000262323c83655e70-262
Proposal 262,Supported By,0x17a01db837345772f2e65adf2fb4f4de10ac1b72-262
Proposal 262,Supported By,0x17ae58ab79444ad5b8ee2e232caf13c65c32af75-262
Proposal 262,Supported By,0x1db19b9903c5510aa5a866ea643eb021cd12bda0-262
Proposal 262,Supported By,0x1e66a3d0a6a327b1f29e8acf3a3d9e1e4e088683-262
Proposal 262,Supported By,0x2767edfee9f5ba743511ee4187a596b302b43938-262
Proposal 262,Supported By,0x281ec184e704ce57570614c33b3477ec7ff07243-262
Proposal 262,Opposed By,0x2a019853a00ca3af202c262076da3308f606277f-262
Proposal 262,Supported By,0x2ed22ea03fea3e5bd90f6fdd52c20c26ff6e1300-262
Proposal 262,Supported By,0x31a50fd42b910c635e4d25b63b7b90fad1451695-262
Proposal 262,Supported By,0x387a161c6b25aa854100abaed39274e51aaffffd-262
Proposal 262,Opposed By,0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f-262
Proposal 262,Opposed By,0x43e3ab994070db606042e8deffd146300cb52919-262
Proposal 262,Opposed By,0x44b1b486ce8d9c82f605626347a7b1f74add11de-262
Proposal 262,Opposed By,0x4575e437306d10ca7433e22796fff7dca70e6699-262
Proposal 262,Supported By,0x51b692349fdd3a4553e602b951ec4ad133a77d6f-262
Proposal 262,Supported By,0x6cc34d9fb4ae289256fc1896308d387aee2bcc52-262
Proposal 262,Opposed By,0x70ece45cdc64a768f936ccb8ac851578251363e3-262
Proposal 262,Opposed By,0x7c1282a7621f0e2f6169e151628552a8b8a57b2d-262
Proposal 262,Opposed By,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c-262
Proposal 262,Supported By,0x7f64c6e6908de72221a06a06b4a02a6546a4d6d2-262
Proposal 262,Opposed By,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9-262
Proposal 262,Opposed By,0x86030dbbce1c771ff6622c20455cd3619aa93c05-262
Proposal 262,Opposed By,0x8ac3ecf6973e020cc0e6e8989fb71b4a77d65987-262
Proposal 262,Supported By,0x8ae80e0b44205904be18869240c2ec62d2342785-262
Proposal 262,Supported By,0x8e71c9644898665a91e4db3dee8bdde97b3c71bc-262
Proposal 262,Opposed By,0x91dccaa260cc4616e1a6e6b693db7207c5e42937-262
Proposal 262,Opposed By,0x93d94557824ac07a30b5b0f44f7cb3e00f9c4191-262
Proposal 262,Supported By,0xa86882277e69fbf0a51805cdc8b0a3a113079e63-262
Proposal 262,Supported By,0xa903c06bf35286f6d1cdad25396748353979a44c-262
Proposal 262,Supported By,0xaa4fbd73051b151397bb369c7e2a6052a894d924-262
Proposal 262,Supported By,0xae65e700f3f8904ac1007d47a5309dd26f8146c0-262
Proposal 262,Supported By,0xb4496906d6ea2685e7a46a14baefae9fe3bf0d2f-262
Proposal 262,Supported By,0xb52235dc0751ce6e171c51fbf459fd6637c6ccc8-262
Proposal 262,Supported By,0xbc3ed6b537f2980e66f396fe14210a56ba3f72c4-262
Proposal 262,Supported By,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a-262
Proposal 262,Opposed By,0xc7a0d765c3af6e2710ba05a56c5e2ca190c2e11e-262
Proposal 262,Opposed By,0xca90d43a2f3b9e9b356dd0877aced3df05296d60-262
Proposal 262,Opposed By,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5-262
Proposal 262,Opposed By,0xd25973a3df7d2341ddea48303a3e6addec6184bf-262
Proposal 262,Supported By,0xdcb4117e3a00632efcac3c169e0b23959f555e5e-262
Proposal 262,Opposed By,0xdead753f9b1eb8f2f7372e8587e7c6e342daac89-262
Proposal 262,Opposed By,0xe26d78c6bff297bbc2da3f80fea9a42028a4260f-262
Proposal 262,Opposed By,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401-262
Proposal 262,Opposed By,0xeb13fddfa9b2a4a6e4e7b2d67b6e38c208c41249-262
Proposal 262,Opposed By,0xf6b6f07862a02c85628b3a9688beae07fea9c863-262
Proposal 262,Opposed By,0xfc538ffd2923dddaed09c8ad1a51686275c56183-262
Proposal 260,Opposed By,0x008c84421da5527f462886cec43d2717b686a7e4-260
Proposal 260,Opposed By,0x0b3cf56e7df3bb3fb7201ffcd96d279b05ddd2e3-260
Proposal 260,Supported By,0x0c66d954d9cb1ebdf4e37a000262323c83655e70-260
Proposal 260,Supported By,0x17a01db837345772f2e65adf2fb4f4de10ac1b72-260
Proposal 260,Opposed By,0x1db19b9903c5510aa5a866ea643eb021cd12bda0-260
Proposal 260,Opposed By,0x1e66a3d0a6a327b1f29e8acf3a3d9e1e4e088683-260
Proposal 260,Supported By,0x2767edfee9f5ba743511ee4187a596b302b43938-260
Proposal 260,Supported By,0x281ec184e704ce57570614c33b3477ec7ff07243-260
Proposal 260,Opposed By,0x2a019853a00ca3af202c262076da3308f606277f-260
Proposal 260,Supported By,0x2ed22ea03fea3e5bd90f6fdd52c20c26ff6e1300-260
Proposal 260,Opposed By,0x36a5bc205df1ed65c86301022cfc343a6ce546ff-260
Proposal 260,Supported By,0x387a161c6b25aa854100abaed39274e51aaffffd-260
Proposal 260,Supported By,0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f-260
Proposal 260,Supported By,0x43e3ab994070db606042e8deffd146300cb52919-260
Proposal 260,Opposed By,0x44b1b486ce8d9c82f605626347a7b1f74add11de-260
Proposal 260,Opposed By,0x4754b7e3dede42d71d6c92978f25f306176ec7e9-260
Proposal 260,Supported By,0x51b692349fdd3a4553e602b951ec4ad133a77d6f-260
Proposal 260,Opposed By,0x5606b493c51316a9e65c9b2a00bbf7ff92515a3e-260
Proposal 260,Opposed By,0x5ca40836e6473a495148972a13dd9014797c0e92-260
Proposal 260,Supported By,0x70ece45cdc64a768f936ccb8ac851578251363e3-260
Proposal 260,Supported By,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c-260
Proposal 260,Opposed By,0x86030dbbce1c771ff6622c20455cd3619aa93c05-260
Proposal 260,Supported By,0x8ac3ecf6973e020cc0e6e8989fb71b4a77d65987-260
Proposal 260,Opposed By,0x8ae80e0b44205904be18869240c2ec62d2342785-260
Proposal 260,Supported By,0x8e71c9644898665a91e4db3dee8bdde97b3c71bc-260
Proposal 260,Opposed By,0x91dccaa260cc4616e1a6e6b693db7207c5e42937-260
Proposal 260,Supported By,0x93d94557824ac07a30b5b0f44f7cb3e00f9c4191-260
Proposal 260,Supported By,0xa1c0b11b86a46885b87c7ed68b91faa0c349e1cd-260
Proposal 260,Opposed By,0xa86882277e69fbf0a51805cdc8b0a3a113079e63-260
Proposal 260,Supported By,0xa903c06bf35286f6d1cdad25396748353979a44c-260
Proposal 260,Opposed By,0xae65e700f3f8904ac1007d47a5309dd26f8146c0-260
Proposal 260,Opposed By,0xb0a2852750b15038cf9b5be255a483e3063162d7-260
Proposal 260,Opposed By,0xb52235dc0751ce6e171c51fbf459fd6637c6ccc8-260
Proposal 260,Opposed By,0xba2b9804fbffa8f1a8f7dc8dd600e21268bef09f-260
Proposal 260,Opposed By,0xbc3ed6b537f2980e66f396fe14210a56ba3f72c4-260
Proposal 260,Supported By,0xc7a0d765c3af6e2710ba05a56c5e2ca190c2e11e-260
Proposal 260,Supported By,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5-260
Proposal 260,Opposed By,0xd25973a3df7d2341ddea48303a3e6addec6184bf-260
Proposal 260,Supported By,0xdcb4117e3a00632efcac3c169e0b23959f555e5e-260
Proposal 260,Supported By,0xdead753f9b1eb8f2f7372e8587e7c6e342daac89-260
Proposal 260,Opposed By,0xe26d78c6bff297bbc2da3f80fea9a42028a4260f-260
Proposal 260,Supported By,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401-260
Proposal 260,Opposed By,0xeb13fddfa9b2a4a6e4e7b2d67b6e38c208c41249-260
Proposal 260,Opposed By,0xfc538ffd2923dddaed09c8ad1a51686275c56183-260
Proposal 259,Supported By,0x008c84421da5527f462886cec43d2717b686a7e4-259
Proposal 259,Supported By,0x0b3cf56e7df3bb3fb7201ffcd96d279b05ddd2e3-259
Proposal 259,Supported By,0x0c66d954d9cb1ebdf4e37a000262323c83655e70-259
Proposal 259,Supported By,0x1766255e71a11f9f9d13abe3f2840e3f6942aa29-259
Proposal 259,Supported By,0x17a01db837345772f2e65adf2fb4f4de10ac1b72-259
Proposal 259,Supported By,0x1db19b9903c5510aa5a866ea643eb021cd12bda0-259
Proposal 259,Supported By,0x1e66a3d0a6a327b1f29e8acf3a3d9e1e4e088683-259
Proposal 259,Supported By,0x2767edfee9f5ba743511ee4187a596b302b43938-259
Proposal 259,Supported By,0x281ec184e704ce57570614c33b3477ec7ff07243-259
Proposal 259,Opposed By,0x2a019853a00ca3af202c262076da3308f606277f-259
Proposal 259,Supported By,0x2ed22ea03fea3e5bd90f6fdd52c20c26ff6e1300-259
Proposal 259,Supported By,0x36a5bc205df1ed65c86301022cfc343a6ce546ff-259
Proposal 259,Supported By,0x387a161c6b25aa854100abaed39274e51aaffffd-259
Proposal 259,Supported By,0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f-259
Proposal 259,Supported By,0x43e3ab994070db606042e8deffd146300cb52919-259
Proposal 259,Supported By,0x44b1b486ce8d9c82f605626347a7b1f74add11de-259
Proposal 259,Supported By,0x4575e437306d10ca7433e22796fff7dca70e6699-259
Proposal 259,Supported By,0x4754b7e3dede42d71d6c92978f25f306176ec7e9-259
Proposal 259,Supported By,0x5606b493c51316a9e65c9b2a00bbf7ff92515a3e-259
Proposal 259,Supported By,0x5ca40836e6473a495148972a13dd9014797c0e92-259
Proposal 259,Supported By,0x70ece45cdc64a768f936ccb8ac851578251363e3-259
Proposal 259,Opposed By,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c-259
Proposal 259,Supported By,0x7f64c6e6908de72221a06a06b4a02a6546a4d6d2-259
Proposal 259,Supported By,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9-259
Proposal 259,Supported By,0x86030dbbce1c771ff6622c20455cd3619aa93c05-259
Proposal 259,Supported By,0x8ac3ecf6973e020cc0e6e8989fb71b4a77d65987-259
Proposal 259,Supported By,0x8ae80e0b44205904be18869240c2ec62d2342785-259
Proposal 259,Supported By,0x8e71c9644898665a91e4db3dee8bdde97b3c71bc-259
Proposal 259,Supported By,0x91dccaa260cc4616e1a6e6b693db7207c5e42937-259
Proposal 259,Supported By,0x93d94557824ac07a30b5b0f44f7cb3e00f9c4191-259
Proposal 259,Supported By,0xa002c3a0c7eb9330c5b21cf3bec7fd1a7fa0befe-259
Proposal 259,Supported By,0xa86882277e69fbf0a51805cdc8b0a3a113079e63-259
Proposal 259,Supported By,0xa903c06bf35286f6d1cdad25396748353979a44c-259
Proposal 259,Supported By,0xae65e700f3f8904ac1007d47a5309dd26f8146c0-259
Proposal 259,Supported By,0xb4496906d6ea2685e7a46a14baefae9fe3bf0d2f-259
Proposal 259,Supported By,0xba2b9804fbffa8f1a8f7dc8dd600e21268bef09f-259
Proposal 259,Supported By,0xbc3ed6b537f2980e66f396fe14210a56ba3f72c4-259
Proposal 259,Supported By,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5-259
Proposal 259,Opposed By,0xd25973a3df7d2341ddea48303a3e6addec6184bf-259
Proposal 259,Supported By,0xdcb4117e3a00632efcac3c169e0b23959f555e5e-259
Proposal 259,Supported By,0xdead753f9b1eb8f2f7372e8587e7c6e342daac89-259
Proposal 259,Supported By,0xe26d78c6bff297bbc2da3f80fea9a42028a4260f-259
Proposal 259,Opposed By,0xeb13fddfa9b2a4a6e4e7b2d67b6e38c208c41249-259
Proposal 259,Supported By,0xeffec2d0163343c8f26983af1f6684e0b966a6b2-259
Proposal 259,Supported By,0xfc538ffd2923dddaed09c8ad1a51686275c56183-259
Proposal 258,Opposed By,0x008c84421da5527f462886cec43d2717b686a7e4-258
Proposal 258,Opposed By,0x0b3cf56e7df3bb3fb7201ffcd96d279b05ddd2e3-258
Proposal 258,Opposed By,0x1d3bc1f9d3f9770453949abd619592cd7583c5ed-258
Proposal 258,Opposed By,0x1db19b9903c5510aa5a866ea643eb021cd12bda0-258
Proposal 258,Opposed By,0x1e66a3d0a6a327b1f29e8acf3a3d9e1e4e088683-258
Proposal 258,Opposed By,0x2767edfee9f5ba743511ee4187a596b302b43938-258
Proposal 258,Opposed By,0x281ec184e704ce57570614c33b3477ec7ff07243-258
Proposal 258,Opposed By,0x2a019853a00ca3af202c262076da3308f606277f-258
Proposal 258,Opposed By,0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f-258
Proposal 258,Opposed By,0x4575e437306d10ca7433e22796fff7dca70e6699-258
Proposal 258,Opposed By,0x4754b7e3dede42d71d6c92978f25f306176ec7e9-258
Proposal 258,Opposed By,0x5606b493c51316a9e65c9b2a00bbf7ff92515a3e-258
Proposal 258,Opposed By,0x6dbd6a29aee4a273c5178dae7c48bc3d3deb1d7d-258
Proposal 258,Opposed By,0x70ece45cdc64a768f936ccb8ac851578251363e3-258
Proposal 258,Opposed By,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e-258
Proposal 258,Opposed By,0x7c1282a7621f0e2f6169e151628552a8b8a57b2d-258
Proposal 258,Opposed By,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c-258
Proposal 258,Opposed By,0x86030dbbce1c771ff6622c20455cd3619aa93c05-258
Proposal 258,Opposed By,0x8ac3ecf6973e020cc0e6e8989fb71b4a77d65987-258
Proposal 258,Supported By,0x8ae80e0b44205904be18869240c2ec62d2342785-258
Proposal 258,Opposed By,0x93d94557824ac07a30b5b0f44f7cb3e00f9c4191-258
Proposal 258,Opposed By,0xa86882277e69fbf0a51805cdc8b0a3a113079e63-258
Proposal 258,Opposed By,0xa903c06bf35286f6d1cdad25396748353979a44c-258
Proposal 258,Opposed By,0xae65e700f3f8904ac1007d47a5309dd26f8146c0-258
Proposal 258,Opposed By,0xb52235dc0751ce6e171c51fbf459fd6637c6ccc8-258
Proposal 258,Opposed By,0xba2b9804fbffa8f1a8f7dc8dd600e21268bef09f-258
Proposal 258,Supported By,0xc7f354b172e53c0dffa8db17b028f634cd2efcbf-258
Proposal 258,Opposed By,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5-258
Proposal 258,Opposed By,0xdcb4117e3a00632efcac3c169e0b23959f555e5e-258
Proposal 258,Opposed By,0xe085327c5ad2f77147f10973fed45fb19d734f7e-258
Proposal 258,Opposed By,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401-258
Proposal 258,Opposed By,0xeb13fddfa9b2a4a6e4e7b2d67b6e38c208c41249-258
Proposal 258,Opposed By,0xfc538ffd2923dddaed09c8ad1a51686275c56183-258
Proposal 257,Supported By,0x008c84421da5527f462886cec43d2717b686a7e4-257
Proposal 257,Supported By,0x0b3cf56e7df3bb3fb7201ffcd96d279b05ddd2e3-257
Proposal 257,Supported By,0x0c66d954d9cb1ebdf4e37a000262323c83655e70-257
Proposal 257,Supported By,0x13eef4ef8fca471f242ab0f8f49a3db6017ada33-257
Proposal 257,Supported By,0x17a01db837345772f2e65adf2fb4f4de10ac1b72-257
Proposal 257,Supported By,0x17ae58ab79444ad5b8ee2e232caf13c65c32af75-257
Proposal 257,Supported By,0x1d3bc1f9d3f9770453949abd619592cd7583c5ed-257
Proposal 257,Supported By,0x1db19b9903c5510aa5a866ea643eb021cd12bda0-257
Proposal 257,Supported By,0x1e66a3d0a6a327b1f29e8acf3a3d9e1e4e088683-257
Proposal 257,Supported By,0x281ec184e704ce57570614c33b3477ec7ff07243-257
Proposal 257,Opposed By,0x2a019853a00ca3af202c262076da3308f606277f-257
Proposal 257,Supported By,0x2ed22ea03fea3e5bd90f6fdd52c20c26ff6e1300-257
Proposal 257,Supported By,0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f-257
Proposal 257,Supported By,0x4575e437306d10ca7433e22796fff7dca70e6699-257
Proposal 257,Supported By,0x4754b7e3dede42d71d6c92978f25f306176ec7e9-257
Proposal 257,Supported By,0x5606b493c51316a9e65c9b2a00bbf7ff92515a3e-257
Proposal 257,Supported By,0x6dbd6a29aee4a273c5178dae7c48bc3d3deb1d7d-257
Proposal 257,Supported By,0x70ece45cdc64a768f936ccb8ac851578251363e3-257
Proposal 257,Supported By,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e-257
Proposal 257,Opposed By,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c-257
Proposal 257,Supported By,0x7f64c6e6908de72221a06a06b4a02a6546a4d6d2-257
Proposal 257,Supported By,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9-257
Proposal 257,Supported By,0x86030dbbce1c771ff6622c20455cd3619aa93c05-257
Proposal 257,Supported By,0x8ac3ecf6973e020cc0e6e8989fb71b4a77d65987-257
Proposal 257,Supported By,0x8ae80e0b44205904be18869240c2ec62d2342785-257
Proposal 257,Supported By,0x8da24b480689314c6d217f2d0bad0daccc87ff44-257
Proposal 257,Supported By,0x91dccaa260cc4616e1a6e6b693db7207c5e42937-257
Proposal 257,Supported By,0x93d94557824ac07a30b5b0f44f7cb3e00f9c4191-257
Proposal 257,Supported By,0xa86882277e69fbf0a51805cdc8b0a3a113079e63-257
Proposal 257,Supported By,0xa903c06bf35286f6d1cdad25396748353979a44c-257
Proposal 257,Supported By,0xae65e700f3f8904ac1007d47a5309dd26f8146c0-257
Proposal 257,Supported By,0xb52235dc0751ce6e171c51fbf459fd6637c6ccc8-257
Proposal 257,Supported By,0xba2b9804fbffa8f1a8f7dc8dd600e21268bef09f-257
Proposal 257,Supported By,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5-257
Proposal 257,Supported By,0xdb7f66f3d53a6a0ec43a49c7b6713e1bd3bd1383-257
Proposal 257,Supported By,0xdcb4117e3a00632efcac3c169e0b23959f555e5e-257
Proposal 257,Supported By,0xe085327c5ad2f77147f10973fed45fb19d734f7e-257
Proposal 257,Supported By,0xe26d78c6bff297bbc2da3f80fea9a42028a4260f-257
Proposal 257,Supported By,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401-257
Proposal 257,Supported By,0xeb13fddfa9b2a4a6e4e7b2d67b6e38c208c41249-257
Proposal 257,Supported By,0xeffec2d0163343c8f26983af1f6684e0b966a6b2-257
Proposal 257,Supported By,0xf6b6f07862a02c85628b3a9688beae07fea9c863-257
Proposal 257,Supported By,0xfc538ffd2923dddaed09c8ad1a51686275c56183-257
Proposal 256,Supported By,0x0055cd5f017027d10adf4f13332181e6d8d886bb-256
Proposal 256,Opposed By,0x008c84421da5527f462886cec43d2717b686a7e4-256
Proposal 256,Supported By,0x0617c2d8c901ab2b17b64072b0c7d4c76f6e8a91-256
Proposal 256,Supported By,0x0b3cf56e7df3bb3fb7201ffcd96d279b05ddd2e3-256
Proposal 256,Supported By,0x0c66d954d9cb1ebdf4e37a000262323c83655e70-256
Proposal 256,Supported By,0x13eef4ef8fca471f242ab0f8f49a3db6017ada33-256
Proposal 256,Supported By,0x1766255e71a11f9f9d13abe3f2840e3f6942aa29-256
Proposal 256,Supported By,0x17a01db837345772f2e65adf2fb4f4de10ac1b72-256
Proposal 256,Supported By,0x17ae58ab79444ad5b8ee2e232caf13c65c32af75-256
Proposal 256,Opposed By,0x181e1d0974ffaf070e8f3c458c1df0432bd936c7-256
Proposal 256,Supported By,0x19cc9d48f2032f3ec8d6f60ea84979169a848231-256
Proposal 256,Opposed By,0x1d3bc1f9d3f9770453949abd619592cd7583c5ed-256
Proposal 256,Supported By,0x1db19b9903c5510aa5a866ea643eb021cd12bda0-256
Proposal 256,Supported By,0x1e66a3d0a6a327b1f29e8acf3a3d9e1e4e088683-256
Proposal 256,Supported By,0x2767edfee9f5ba743511ee4187a596b302b43938-256
Proposal 256,Supported By,0x281ec184e704ce57570614c33b3477ec7ff07243-256
Proposal 256,Opposed By,0x2a019853a00ca3af202c262076da3308f606277f-256
Proposal 256,Supported By,0x2ed22ea03fea3e5bd90f6fdd52c20c26ff6e1300-256
Proposal 256,Supported By,0x31a50fd42b910c635e4d25b63b7b90fad1451695-256
Proposal 256,Supported By,0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f-256
Proposal 256,Supported By,0x4575e437306d10ca7433e22796fff7dca70e6699-256
Proposal 256,Opposed By,0x4754b7e3dede42d71d6c92978f25f306176ec7e9-256
Proposal 256,Opposed By,0x5606b493c51316a9e65c9b2a00bbf7ff92515a3e-256
Proposal 256,Opposed By,0x60bf178a865d733e9a40c5f8e9f5d5aa6e84498a-256
Proposal 256,Supported By,0x66d5527411d821cb513f2d214bbbc0ad73586b35-256
Proposal 256,Opposed By,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b-256
